"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997357036010733e-01	-5.557166880733036e-06	1.294386332854501e+00	1.671579928263462e+01	1.688661146208496e+00	2.538045288494500e+05	1.014781971234408e+05	2.731109855909016e+02	2.501118864523050e+00	3.917866607501692e-02	
1	9.989428861861970e-01	-2.556210674487283e-05	1.299565401946182e+00	1.812708869496120e+01	9.948890066602840e-01	2.548259078727429e+05	1.018796414003961e+05	2.730986870667960e+02	9.055157423447415e+00	4.216716365844565e-02	
2	9.976337286737863e-01	-9.946711412263948e-05	1.296901715590272e+00	1.856026745521145e+01	1.304968366382125e+00	2.543056245797875e+05	1.016688631386468e+05	2.730934273045042e+02	5.613960390161436e+00	4.330554530129675e-02	
3	9.957979394296166e-01	-2.206859765670625e-04	1.296924374189537e+00	2.084497874851370e+01	1.350614403801411e+00	2.543199672707370e+05	1.016606988987582e+05	2.730667264448198e+02	5.480669803881188e+00	4.861981248633695e-02	
4	9.934355853964740e-01	-3.899464629596107e-04	1.296523445636753e+00	2.296642252290694e+01	1.637285607676224e+00	2.542517081289722e+05	1.016189049745441e+05	2.730388721404392e+02	4.798336024195943e+00	5.361085174203126e-02	
5	9.905573478591631e-01	-6.055361858720890e-04	1.296271236321494e+00	2.485584658583641e+01	1.859901921553726e+00	2.542123269674318e+05	1.015890754864386e+05	2.730118318493958e+02	4.311335395567840e+00	5.805044414660029e-02	
6	9.871739419818396e-01	-8.673556483906333e-04	1.295991441264281e+00	2.642416338649356e+01	2.049200039505934e+00	2.541664398791901e+05	1.015581746753848e+05	2.729877119248885e+02	3.806844190250459e+00	6.174200644931548e-02	
7	9.832644323723821e-01	-1.176513504499395e-03	1.295757543840988e+00	2.776444331050835e+01	2.193934694128213e+00	2.541286692169170e+05	1.015317419455629e+05	2.729659251540306e+02	3.375299539062445e+00	6.489538792697046e-02	
8	9.788603298142907e-01	-1.528421619312711e-03	1.295541623012422e+00	2.887949710859883e+01	2.318001432478697e+00	2.540933956424718e+05	1.015077756223629e+05	2.729469752021269e+02	2.984021806671519e+00	6.752191200476894e-02	
9	9.739409122517673e-01	-1.926722516307092e-03	1.295349390889494e+00	2.982533510571858e+01	2.415698249279419e+00	2.540619385993842e+05	1.014865291536941e+05	2.729303423356785e+02	2.637148821078729e+00	6.974988901081737e-02	
10	9.685377397133903e-01	-2.365700626155543e-03	1.295186911319520e+00	3.061874812245026e+01	2.490578947676056e+00	2.540354499713906e+05	1.014684541922510e+05	2.729159655457109e+02	2.342054330885893e+00	7.161824604659608e-02	
11	9.626299104642388e-01	-2.847252015510561e-03	1.295039259145991e+00	3.129078348539302e+01	2.555933748871713e+00	2.540111962405045e+05	1.014522598014406e+05	2.729035192725582e+02	2.077662314602427e+00	7.320219749427100e-02	
12	9.562386666463393e-01	-3.369983293184094e-03	1.294911864071382e+00	3.185841747423257e+01	2.606578862134833e+00	2.539902742978135e+05	1.014382992849674e+05	2.728928108047177e+02	1.849740860691665e+00	7.453973802098897e-02	
13	9.493641165104522e-01	-3.932087246362281e-03	1.294802740093202e+00	3.234526830590303e+01	2.643589758769110e+00	2.539724238062293e+05	1.014262876071727e+05	2.728834928367602e+02	1.653636434889159e+00	7.568596592444930e-02	
14	9.420168187706579e-01	-4.531257334026620e-03	1.294709964858814e+00	3.275415233792701e+01	2.671328257906973e+00	2.539572577188750e+05	1.014160749145460e+05	2.728755680695627e+02	1.486902506649731e+00	7.664825678426604e-02	
15	9.342075217332994e-01	-5.166730603959076e-03	1.294629447338391e+00	3.310379095496145e+01	2.691763311407585e+00	2.539441173169469e+05	1.014072342163955e+05	2.728687504135177e+02	1.342567962873358e+00	7.747070484860437e-02	
16	9.259468543585444e-01	-5.836302706176592e-03	1.294560961552019e+00	3.339735912049074e+01	2.707362253367100e+00	2.539329222773677e+05	1.013997180747272e+05	2.728629602462007e+02	1.219858323861757e+00	7.816112641116986e-02	
17	9.172244187560187e-01	-6.540028235212316e-03	1.294504779542080e+00	3.363757972334885e+01	2.708932543619800e+00	2.539237592928594e+05	1.013935561110525e+05	2.728582202643957e+02	1.119257194786206e+00	7.872406077460066e-02	
18	9.080718307825824e-01	-7.273730593604813e-03	1.294452866109404e+00	3.385143150934623e+01	2.709516899833629e+00	2.539152264163080e+05	1.013879054927740e+05	2.728539562385226e+02	1.027004366175432e+00	7.922524104707906e-02	
19	8.984787181762048e-01	-8.036996141421213e-03	1.294415387407690e+00	3.402346704225124e+01	2.698574607247660e+00	2.539092477949894e+05	1.013837138326201e+05	2.728505756199861e+02	9.585707033933925e-01	7.962608933633823e-02	
20	8.884661516539015e-01	-8.826486819458848e-03	1.294378500883102e+00	3.418433493040909e+01	2.688660397460583e+00	2.539032964933213e+05	1.013796410356933e+05	2.728473898800228e+02	8.920776192141734e-01	8.000115479594586e-02	
21	8.780448098011437e-01	-9.640793744149594e-03	1.294353233151577e+00	3.430850684873501e+01	2.675931075369330e+00	2.538993520974187e+05	1.013767561298512e+05	2.728449518506926e+02	8.449782203346793e-01	8.028958055085046e-02	
22	8.672147562523441e-01	-1.047910025910342e-02	1.294325877007603e+00	3.441381893033142e+01	2.654351056258590e+00	2.538948400180436e+05	1.013738468942571e+05	2.728428884789179e+02	7.974816103316095e-01	8.053266540192963e-02	
23	8.559971071904262e-01	-1.133730230228045e-02	1.294308637881101e+00	3.450706203345366e+01	2.633307920112038e+00	2.538922031878928e+05	1.013718138799887e+05	2.728410506876716e+02	7.642903191101112e-01	8.074717398693836e-02	
