"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
46, -4.693493162383710e-02, -8.563114874234472e-01, 1.399809301417884e-01, 5.470457410246661e-02, -1.829825916975817e-05, 5.202503838172280e-01, -3.107031453395012e-02
47, -1.802962044172485e-03, -8.774963801548287e-01, 1.403355422405149e-01, 5.687705650722659e-02, -1.818594218713581e-05, 5.037378581591218e-01, -3.167576708625752e-02
48, -4.177083351794277e-02, -8.918441070520938e-01, 1.393271113028286e-01, 5.900765835382548e-02, -1.807274464660558e-05, 4.872065440578929e-01, -3.223920282036925e-02
49, -1.101458985458113e-03, -9.180881600396198e-01, 1.387837066882911e-01, 6.129170981109948e-02, -1.794029972464529e-05, 4.706566053232103e-01, -3.276047219439807e-02
50, -3.771171483124255e-02, -9.218544855590077e-01, 1.364488191707819e-01, 6.364042413758400e-02, -1.775722130373426e-05, 4.541194484755331e-01, -3.323602501481240e-02
51, -1.432572309712476e-02, -9.265576990406577e-01, 1.344103116364121e-01, 6.600697901536949e-02, -1.757319555849235e-05, 4.376056051970447e-01, -3.366432399491062e-02
52, -2.957351052127555e-02, -9.328110836333345e-01, 1.311659265898395e-01, 6.863614639104229e-02, -1.720993338240829e-05, 4.211256000539007e-01, -3.404421080900438e-02
53, -2.421711402204266e-02, -9.344631946011589e-01, 1.277437470405334e-01, 7.118434891420704e-02, -1.692160760011061e-05, 4.047108211948391e-01, -3.437273611376981e-02
54, -1.512669595642460e-02, -9.378917720665694e-01, 1.238436623104710e-01, 7.397943054966595e-02, -1.651049511316571e-05, 3.883612541071736e-01, -3.464903380863368e-02
55, -3.789338779316546e-02, -9.244663817976273e-01, 1.192268294372425e-01, 7.677969437934801e-02, -1.618050644211460e-05, 3.720978381452403e-01, -3.487207149327167e-02
56, -2.218086726697767e-02, -9.176571560683036e-01, 1.146674763153989e-01, 7.992416234521614e-02, -1.564410685813031e-05, 3.559413798335292e-01, -3.503834254050515e-02
57, -4.397191380699991e-02, -8.927928129656419e-01, 1.092088180594518e-01, 8.297478653380869e-02, -1.523508068461760e-05, 3.399127567650751e-01, -3.514748687671230e-02
58, -3.233699501827038e-02, -8.792069191767679e-01, 1.042954995843870e-01, 8.643049081858040e-02, -1.463767714934616e-05, 3.240117952771346e-01, -3.519763858576260e-02
59, -4.592732722150841e-02, -8.605376228183792e-01, 9.838529153552955e-02, 8.977338331200337e-02, -1.411724920866047e-05, 3.082592925311221e-01, -3.518744782630882e-02
60, -4.789796812322645e-02, -8.427435301153395e-01, 9.293462478181430e-02, 9.358458021925511e-02, -1.341416043660625e-05, 2.926864146529427e-01, -3.511677555519614e-02
61, -5.427452292751454e-02, -8.242809874983479e-01, 8.664021252872402e-02, 9.727890451728965e-02, -1.278126308610171e-05, 2.772929224721112e-01, -3.498309044372167e-02
62, -5.791955269787288e-02, -8.148560838180681e-01, 8.067231660578526e-02, 1.016208589047765e-01, -1.190321206541637e-05, 2.620890114859631e-01, -3.478538682878172e-02
63, -5.782451707472130e-02, -8.346087727071835e-01, 7.373166246098775e-02, 1.057680494206067e-01, -1.102217252137349e-05, 2.471057530828082e-01, -3.452364629338676e-02
64, -7.951664803618719e-02, -8.915646748929358e-01, 6.723282021574412e-02, 1.106239974712990e-01, -9.763107489277188e-06, 2.323532262455320e-01, -3.419559447310920e-02
121, 1.759676592720327e-01, 6.862531019498397e+00, 8.763280664115702e-02, -4.109356645293638e-01, 5.354758453439593e-06, 1.102355955491338e-01, 1.466915030391674e-01
122, 8.827776805831129e-02, 6.566666471249726e+00, 7.960268171935833e-02, -3.763543102679868e-01, 3.080749479287277e-06, 1.197007354174353e-01, 1.516341066364567e-01
123, 5.882001980703525e-02, 6.272376694780187e+00, 7.247045582790426e-02, -3.427553914391381e-01, 1.164517568056494e-06, 1.296762660690237e-01, 1.564317578148341e-01
124, -5.240124954216853e-02, 6.011516573790101e+00, 6.588660251876331e-02, -3.102210596212433e-01, -5.846681513025136e-07, 1.401327912875681e-01, 1.610497674501826e-01
125, -1.914192208493076e-03, 5.713443187674066e+00, 6.090541277626935e-02, -2.782883953807574e-01, -2.232015105453307e-06, 1.510575544427252e-01, 1.654662820855071e-01
126, -1.352211583814039e-01, 5.443284783394547e+00, 5.711719208893568e-02, -2.470701473848142e-01, -3.904277401619805e-06, 1.624468849551679e-01, 1.696637598564092e-01
127, -3.935512926654971e-02, 5.101245998248912e+00, 5.528999555121256e-02, -2.160326003190826e-01, -5.557854576839738e-06, 1.742862758351768e-01, 1.736223133976462e-01
128, -1.861441224942846e-01, 4.840315148523321e+00, 5.320177679567764e-02, -1.863003779784774e-01, -6.919281943983087e-06, 1.865501706277323e-01, 1.773211444441101e-01
129, -6.592714934635216e-02, 4.527929513903704e+00, 5.187296142458719e-02, -1.575489956154633e-01, -8.048517618284521e-06, 1.992217269937364e-01, 1.807459820788979e-01
130, -1.810213451022225e-01, 4.311524275637316e+00, 4.956052005136842e-02, -1.301675341614296e-01, -8.726040316658009e-06, 2.122734649122267e-01, 1.838819933820396e-01
131, -8.125302535213313e-02, 4.060163866588725e+00, 4.781616771430917e-02, -1.035596475591125e-01, -9.429530239425637e-06, 2.256979522672648e-01, 1.867205870060520e-01
132, -1.326164918321607e-01, 3.857406495873770e+00, 4.593307566839974e-02, -7.812182105008596e-02, -9.643009382523574e-06, 2.394669659084340e-01, 1.892508658146637e-01
133, -8.971788621485600e-02, 3.659727942284757e+00, 4.405338035598276e-02, -5.320325438982938e-02, -1.006188921463983e-05, 2.535622043373391e-01, 1.914664431142446e-01
134, -7.580351735760324e-02, 3.462140489260662e+00, 4.261036655914491e-02, -2.950919736574012e-02, -9.878797762104475e-06, 2.679655861619176e-01, 1.933612832927133e-01
135, -1.003045026701958e-01, 3.326508718874197e+00, 4.011447476150310e-02, -6.064399419069332e-03, -9.989070331884221e-06, 2.826382182475871e-01, 1.949289801832718e-01
136, -6.293250505633977e-03, 3.149335613649319e+00, 3.832427782900689e-02, 1.608119617027021e-02, -9.426231960164063e-06, 2.975723481100674e-01, 1.961689396175690e-01
137, -1.028153947611690e-01, 3.077039455909124e+00, 3.484230651305945e-02, 3.801618189317002e-02, -9.156928631861761e-06, 3.127501623157846e-01, 1.970806178238728e-01
138, 5.950557908449476e-02, 2.922123331781493e+00, 3.274122383688031e-02, 5.883483063378828e-02, -8.341576930995197e-06, 3.281331955759353e-01, 1.976628013381189e-01
139, -1.079293667765748e-01, 2.902908155585347e+00, 2.883132893897876e-02, 7.945677331381798e-02, -7.855363819676194e-06, 3.437041106686761e-01, 1.979184736034975e-01
140, 8.210907566058048e-02, 2.736052710786995e+00, 2.748213142775540e-02, 9.913343338734856e-02, -7.104585050771873e-06, 3.594564435413116e-01, 1.978498953089940e-01
141, -8.677124592373854e-02, 2.719112558137591e+00, 2.387227422580896e-02, 1.188205630131640e-01, -6.364065649487124e-06, 3.753527145295156e-01, 1.974613944258383e-01
142, 9.150548749275025e-02, 2.591066012249923e+00, 2.139766249362884e-02, 1.377218739905193e-01, -5.344709945810344e-06, 3.913663225118743e-01, 1.967597146589073e-01
143, -4.154373695225558e-02, 2.620896356697139e+00, 1.589478689836328e-02, 1.566447986602778e-01, -4.006736358210947e-06, 4.074918921306211e-01, 1.957476883092384e-01
144, 6.801510197428898e-02, 2.580743603966408e+00, 1.094803752127149e-02, 1.748482719573592e-01, -2.762696241136107e-06, 4.237037850697014e-01, 1.944353138026362e-01
145, 1.440867839992278e-02, 2.600521344662396e+00, 5.121802995347327e-03, 1.926999928875648e-01, -1.079700312379942e-06, 4.399765545833295e-01, 1.928287278174746e-01
146, 5.284899070811410e-02, 2.610173024702966e+00, -4.585686666334100e-04, 2.105591610262197e-01, 9.580764027152604e-08, 4.562854608488330e-01, 1.909387422899667e-01
147, 4.470075606737577e-02, 2.603037340998344e+00, -5.352785131591650e-03, 2.270661787139162e-01, 1.875235251775391e-06, 4.726269227685350e-01, 1.887728900266889e-01
148, 2.507353571018001e-02, 2.611655331343610e+00, -9.778581629332138e-03, 2.443609377883950e-01, 2.744507125545051e-06, 4.889663754536627e-01, 1.863413385275308e-01
149, 7.690110723222725e-02, 2.555493713270272e+00, -1.231098014663329e-02, 2.598795932339023e-01, 4.117753035102835e-06, 5.052909712197600e-01, 1.836560281404101e-01
150, 1.589139373450698e-02, 2.573402922171514e+00, -1.554867092260570e-02, 2.766925515158891e-01, 5.028971292699755e-06, 5.215877764437182e-01, 1.807258503975323e-01
151, 1.364658655305554e-01, 2.560530139474099e+00, -1.917913164948582e-02, 2.923004438231174e-01, 6.384471384629812e-06, 5.378239182502647e-01, 1.775652695628607e-01
152, 2.687576054698014e-02, 2.642788782837812e+00, -2.475193748807423e-02, 3.080710980938267e-01, 8.065065765673875e-06, 5.539979523951837e-01, 1.741843700076822e-01
153, 6.483674819873399e-02, 2.690905834888085e+00, -2.984534480689833e-02, 3.235090537410553e-01, 9.065754216345886e-06, 5.700773973871345e-01, 1.705966172688689e-01
154, 4.751684914677305e-02, 2.654685452001871e+00, -3.226036351229328e-02, 3.370059903099929e-01, 1.047571036681655e-05, 5.860616192827509e-01, 1.668121585955059e-01
155, 5.746829389410634e-03, 2.667119213132209e+00, -3.418726137299129e-02, 3.522235833276573e-01, 1.097602544001504e-05, 6.019193577366015e-01, 1.628479234016633e-01
156, 7.042590133488116e-02, 2.635641484552596e+00, -3.590703797353226e-02, 3.649633449258986e-01, 1.222499780839129e-05, 6.176398565021473e-01, 1.587143950844711e-01
157, 4.798769405274784e-02, 2.636219706342063e+00, -3.806342768611217e-02, 3.793373079661255e-01, 1.313007750096982e-05, 6.332031661988234e-01, 1.544275391966884e-01
158, 9.724222313027248e-03, 2.708235836600667e+00, -4.175762098757071e-02, 3.922260723413355e-01, 1.409751795429242e-05, 6.485993938303847e-01, 1.499993452919189e-01
159, 9.363644399566178e-02, 2.617346172011946e+00, -4.208296738221811e-02, 4.045363332661118e-01, 1.510327314811148e-05, 6.638187225081590e-01, 1.454414152614852e-01
160, -2.952371292427776e-02, 2.714721621492562e+00, -4.488975223139702e-02, 4.173903150600239e-01, 1.563435551328864e-05, 6.788417473107812e-01, 1.407685880153513e-01
161, 1.111232637075159e-01, 2.574512651896762e+00, -4.355095811397441e-02, 4.279798004947482e-01, 1.656026754896478e-05, 6.936495182300862e-01, 1.359968432425537e-01
162, -4.202599092079871e-02, 2.671588717997194e+00, -4.525185142683606e-02, 4.401914372237842e-01, 1.682940374177972e-05, 7.082333860452189e-01, 1.311390545691150e-01
163, 1.013349657533033e-01, 2.527223112213237e+00, -4.291616323027988e-02, 4.496416684177963e-01, 1.753598656585007e-05, 7.225842702415040e-01, 1.262061703994374e-01
164, -3.771583456601397e-02, 2.605744028563306e+00, -4.335681573875164e-02, 4.608429517122566e-01, 1.762075114066792e-05, 7.366742310019099e-01, 1.212182993767843e-01
165, 8.061736905324794e-02, 2.466672747580063e+00, -4.020798489738654e-02, 4.693502657013800e-01, 1.809452045977878e-05, 7.505048627538398e-01, 1.161837548876266e-01
166, -2.856703108636089e-02, 2.512890789191383e+00, -3.920504240504076e-02, 4.794313508486211e-01, 1.797669129622439e-05, 7.640674088443085e-01, 1.111132804897935e-01
167, 6.936403236551160e-02, 2.383645795863794e+00, -3.541418775638717e-02, 4.869065729247772e-01, 1.826125190336825e-05, 7.773351350466211e-01, 1.060285445860495e-01
168, -2.762345616933335e-02, 2.398354875399836e+00, -3.319783018841854e-02, 4.959638959933982e-01, 1.801607720680759e-05, 7.903000110257077e-01, 1.009408467961225e-01
169, 4.378542863217647e-02, 2.284574909374315e+00, -2.911048270889488e-02, 5.028401946257681e-01, 1.813774580459139e-05, 8.029638471296966e-01, 9.585765487633574e-02
170, -3.298979168217874e-02, 2.255037540092176e+00, -2.595136686187005e-02, 5.108462911818555e-01, 1.782405914188932e-05, 8.153090678919347e-01, 9.079428524507102e-02
171, -3.381155927422585e-02, 2.123132050627593e+00, -2.156981920337269e-02, 5.173336022062650e-01, 1.783418421932126e-05, 8.273286079885248e-01, 8.576337416880907e-02
172, -9.474042207656468e-02, 2.078976066605775e+00, -1.872337304488517e-02, 5.251015581649368e-01, 1.769256031971795e-05, 8.389954323447406e-01, 8.078420302606262e-02
173, -5.320814482685263e-02, 1.979019547035394e+00, -1.535366123904266e-02, 5.316568426410556e-01, 1.754464285181579e-05, 8.503216491648409e-01, 7.586030087644453e-02
174, -7.152581239137357e-02, 1.937606679212512e+00, -1.185910278001836e-02, 5.375033263139988e-01, 1.715140066376058e-05, 8.612992381294228e-01, 7.100144741979568e-02
175, -5.595671547296101e-02, 1.795868525179863e+00, -4.413971065318984e-03, 5.407993762414884e-01, 1.609811764039792e-05, 8.718927086215137e-01, 6.623306139779189e-02
176, 6.478043169823590e-03, 1.637418807611167e+00, 4.987630207015505e-03, 5.433070270588579e-01, 1.492190614585584e-05, 8.821234054535837e-01, 6.155278255007351e-02
177, 7.573246543335531e-02, 1.496227243896877e+00, 1.545882749203723e-02, 5.452900475290432e-01, 1.350550781901895e-05, 8.919738156900563e-01, 5.697433161600867e-02
178, 1.613678315409047e-01, 1.348896896619959e+00, 2.706629235911761e-02, 5.462380455599245e-01, 1.238980668906194e-05, 9.014277509846833e-01, 5.251444090319491e-02
179, 1.844147390587993e-01, 1.247449439200344e+00, 3.886548754355145e-02, 5.472309335971424e-01, 1.105760536102032e-05, 9.104868289201435e-01, 4.817764016659345e-02
180, 2.166580559044089e-01, 1.142435045209185e+00, 5.094271878420331e-02, 5.475641668177983e-01, 1.003914258694306e-05, 9.191442919666019e-01, 4.397540524188837e-02
181, 2.053614785946929e-01, 1.084735883646183e+00, 6.241115686848474e-02, 5.483957299294551e-01, 8.779683059161284e-06, 9.273827734445219e-01, 3.992132431679985e-02
182, 2.390486579161939e-01, 1.017983792331852e+00, 7.368480786687698e-02, 5.487745360679978e-01, 7.856694827908274e-06, 9.352137795980746e-01, 3.601600931359295e-02
183, 2.034594585856725e-01, 1.001922576264868e+00, 8.402998145627359e-02, 5.497680950240755e-01, 6.788568448895026e-06, 9.426112554065210e-01, 3.227912572352484e-02
184, 2.202580135494879e-01, 9.756868502199936e-01, 9.415728513640687e-02, 5.504434605679829e-01, 5.967422045156757e-06, 9.495863066189021e-01, 2.871014599366245e-02
185, 1.809089253860280e-01, 9.874969766943240e-01, 1.036301608611802e-01, 5.516639634934767e-01, 5.014914080315579e-06, 9.561312780767531e-01, 2.531822334280806e-02
186, 1.880338593216487e-01, 9.868205353233988e-01, 1.131213248419815e-01, 5.526195746609681e-01, 4.223968401103712e-06, 9.622384532465089e-01, 2.211231943588662e-02
187, 1.559921894348341e-01, 1.008055389536883e+00, 1.224796340857647e-01, 5.539966296902311e-01, 3.270529497200445e-06, 9.678999131029429e-01, 1.910082090134773e-02
188, 1.711323228145671e-01, 1.019335090558544e+00, 1.321313677805243e-01, 5.551245446550057e-01, 2.437380841445184e-06, 9.731172155223414e-01, 1.628762340738880e-02
189, 1.395473214762770e-01, 1.047661088526435e+00, 1.421029582814788e-01, 5.565737167886450e-01, 1.496881020995385e-06, 9.778734718270959e-01, 1.368664911691533e-02
190, 1.281481673295740e-01, 1.075782142195744e+00, 1.528492371205310e-01, 5.580973976691133e-01, 5.779781947328807e-07, 9.821883422144647e-01, 1.129060290655071e-02
191, 1.906891589274585e-01, 1.115920766507388e+00, 1.647586772127971e-01, 5.600352082872200e-01, -5.562095816134224e-07, 9.860349826823501e-01, 9.117171725504379e-03
192, -1.463411896411221e-02, 1.185558303367633e+00, 1.778723337648448e-01, 5.623323416444772e-01, -1.342622900800699e-06, 9.894326533479098e-01, 7.159011355754938e-03
193, 5.532051962806336e-01, 1.263809235501552e+00, 1.941170031589458e-01, 5.660554747873288e-01, -3.228946512160434e-06, 9.923559352023333e-01, 5.434575861839998e-03
194, -8.438453008195504e-01, 1.477082721036587e+00, 2.114088354572668e-01, 5.704654680434478e-01, -2.622363282158047e-06, 9.948187075481495e-01, 3.931966242786233e-03
195, 2.627557753659076e+00, 1.584034212381726e+00, 2.405838018693960e-01, 5.810837881291521e-01, -8.707434813953245e-06, 9.968251829343644e-01, 2.667087175397723e-03
196, -1.301066904938314e+00, 2.235641989692639e+00, 2.687747843555829e-01, 5.920786829227679e-01, -8.818086053692587e-07, 9.983310128938957e-01, 1.624097840094693e-03
197, -2.059871162994415e+01, 3.746483330259830e+00, 3.380063211709406e-01, 6.551490815259792e-01, -1.808211705523523e-05, 9.994153195683440e-01, 8.579022305685607e-04
198, 2.731268674132349e+01, -7.086347293133008e-01, 5.599098911504198e-01, 6.800173144980397e-01, -1.477154596820107e-04, 9.998909311257943e-01, 2.427241070508162e-04
65, -7.413971089429018e-02, -1.004659675943967e+00, 5.993818306443394e-02, 1.153497816320610e-01, -8.326502247021124e-06, 2.178311151788215e-01, -3.379958566759837e-02
66, -8.446078564845311e-02, -1.157340670705698e+00, 5.290294400545457e-02, 1.208531971550404e-01, -6.575415774586755e-06, 2.035703179181670e-01, -3.333581804224678e-02
67, -8.887564151667043e-02, -1.316672550308421e+00, 4.522452959577619e-02, 1.264111467092528e-01, -4.850119135772466e-06, 1.895808873985524e-01, -3.280257081939134e-02
68, -1.012151072857858e-01, -1.443724993377453e+00, 3.747993658432330e-02, 1.327030395378642e-01, -2.959202964629886e-06, 1.758728624683972e-01, -3.219813907129371e-02
69, -9.751569594300559e-02, -1.480855445231635e+00, 2.965059654010447e-02, 1.391945827690700e-01, -1.510319654488850e-06, 1.624666536189785e-01, -3.152262435079912e-02
70, -1.153456370262302e-01, -1.344128792024589e+00, 2.197136299718999e-02, 1.464523831364100e-01, -4.649041955740644e-07, 1.493618943096619e-01, -3.077193428522709e-02
71, -1.052685947356081e-01, -9.878862678365391e-01, 1.519172221358886e-02, 1.541262126364412e-01, -4.284063716638097e-07, 1.365789893217969e-01, -2.994618842257882e-02
72, -1.166433749530577e-01, -3.272200433652178e-01, 8.832603478778796e-03, 1.625962990735808e-01, -1.350398508901204e-06, 1.241281688588530e-01, -2.904150766655595e-02
73, -9.822290482209405e-02, 6.489315585141606e-01, 4.187106261477120e-03, 1.716442411144664e-01, -3.735154239138130e-06, 1.120299441859425e-01, -2.805758569616943e-02
74, -9.731987900781118e-02, 2.033185004280213e+00, 1.146648293222961e-03, 1.817708871974684e-01, -7.652921953010169e-06, 1.002947592697796e-01, -2.698942718893365e-02
75, -1.417430020944623e-01, 3.693158502151226e+00, 1.862822943589654e-03, 1.915622918603203e-01, -1.318924733024638e-05, 8.892281966038706e-02, -2.583072998604990e-02
76, 2.903077644828714e-02, 5.144777112036585e+00, 8.131668605800889e-03, 2.033832385951894e-01, -1.859944748790052e-05, 7.792487109902141e-02, -2.457672870576928e-02
77, -4.958761979140054e-01, 6.703401668015854e+00, 6.779587439830597e-03, 2.153867484374899e-01, -2.339303183644462e-05, 6.733341228027338e-02, -2.322143276696092e-02
78, 6.606224596926245e-01, 1.063742272967002e+01, -1.466779771214514e-02, 2.457827651913455e-01, -3.148923990783269e-05, 5.714003156319795e-02, -2.174991447392750e-02
79, -3.649349703725561e+00, 2.299512575436314e+01, -1.432512550728587e-01, 2.869016002092584e-01, -4.841126357001027e-05, 4.736911079004628e-02, -2.014805749253046e-02
80, 7.936817367393830e+00, 2.989548060684999e+01, -3.176754444628071e-01, 3.969251725850892e-01, -2.129437799099965e-05, 3.803754471666269e-02, -1.839130169839745e-02
81, -3.445418067213632e+01, 2.264621858747615e+01, -6.168684765539145e-01, 4.325510671352010e-01, 8.042536953410320e-05, 2.915725131773532e-02, -1.643905383700984e-02
