TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
ZONE T= "Convergence history"
           0, 0.7750313367, 4.5383208179, 0.0000000000, 0.0000000000, 0.0000000000, 0.4547864617, 4.4535027052, 1.1676228302, 0.0000000000, 0.1707749117, -2.0976530120, 1.0123853292, 0.7434517040, 3.3408608948, 0.0000000000, 5.0000000000, 4.0000000000, 0.0012990514
           1, -1.2773426983, -0.4999364040, 0.0000000000, 0.0000000000, 0.0000000000, 0.4703547578, -0.3867062434, -1.3160543523, 0.0000000000, 2.5550103735, -1.8613772892, 0.4742323665, 0.4118826700, 3.5760773420, 0.0000000000, 5.0000000000, 4.0000000000, 0.0026001493
           2, 0.5897836408, 0.2807251020, 0.0000000000, 0.0000000000, 0.0000000000, 0.2850426709, 0.2282538270, 0.6120061407, 0.0000000000, 2.1009294734, -2.2445303680, 0.4217038995, 0.1939229058, 3.2139694800, 0.0000000000, 5.0000000000, 4.0000000000, 0.0038818677
           3, 0.3846251143, -0.1807667061, 0.0000000000, 0.0000000000, 0.0000000000, 0.2320970225, -0.2136011218, 0.3674066431, 0.0000000000, -2.1277431148, -2.4035183940, 0.2067019641, 0.0948561684, 3.0240162130, 0.0000000000, 5.0000000000, 4.0000000000, 0.0051550349
           4, 0.5003924483, -0.2969868965, 0.0000000000, 0.0000000000, 0.0000000000, 0.1777351669, -0.3394688472, 0.4726041904, 0.0000000000, -1.6848973953, -2.6644673606, -0.1715998219, -0.1842227969, 2.7584481843, 0.0000000000, 5.0000000000, 4.0000000000, 0.0064544837
           5, 0.5543030158, -0.4126115940, 0.0000000000, 0.0000000000, 0.0000000000, 0.1780235359, -0.4593521733, 0.5162322555, 0.0000000000, -1.3434014552, -2.8280697731, -0.2353222461, -0.2190310941, 2.5676435492, 0.0000000000, 5.0000000000, 4.0000000000, 0.0077306668
           6, 0.5360504471, -0.4959757657, 0.0000000000, 0.0000000000, 0.0000000000, 0.1861916178, -0.5408083030, 0.4907834771, 0.0000000000, -1.0807996765, -2.9563020337, -0.4131211258, -0.3205467887, 2.4281193617, 0.0000000000, 5.0000000000, 4.0000000000, 0.0090030670
           7, 0.5642336111, -0.5637430202, 0.0000000000, 0.0000000000, 0.0000000000, 0.1919546131, -0.6107740072, 0.5129530902, 0.0000000000, -1.0008702386, -3.0724871517, -0.4759234038, -0.3769501571, 2.3026030630, 0.0000000000, 5.0000000000, 4.0000000000, 0.0102890333
           8, 0.6014042091, -0.6357228985, 0.0000000000, 0.0000000000, 0.0000000000, 0.1994851965, -0.6857196115, 0.5437087831, 0.0000000000, -0.9460162762, -3.1680485335, -0.5040555415, -0.4112587785, 2.2117711743, 0.0000000000, 5.0000000000, 4.0000000000, 0.0115709186
           9, 0.6423259137, -0.7119150908, 0.0000000000, 0.0000000000, 0.0000000000, 0.2073022111, -0.7651884310, 0.5778341812, 0.0000000000, -0.9022507348, -3.2508637455, -0.5274877045, -0.4373867156, 2.1401158329, 0.0000000000, 5.0000000000, 4.0000000000, 0.0128496488
          10, 0.6837154490, -0.7918046516, 0.0000000000, 0.0000000000, 0.0000000000, 0.2160631122, -0.8483813237, 0.6121033828, 0.0000000000, -0.8634900636, -3.2968363986, -0.5422393724, -0.4539276205, 2.1063873375, 0.0000000000, 5.0000000000, 4.0000000000, 0.0141244173
          11, 0.7256558576, -0.8742928225, 0.0000000000, 0.0000000000, 0.0000000000, 0.2257828211, -0.9342109496, 0.6466948777, 0.0000000000, -0.8299917819, -3.3173068176, -0.5507062829, -0.4624312306, 2.0916687617, 0.0000000000, 5.0000000000, 4.0000000000, 0.0153902014
          12, 0.7687954091, -0.9582253397, 0.0000000000, 0.0000000000, 0.0000000000, 0.2361770075, -1.0215839379, 0.6823550693, 0.0000000000, -0.8023117082, -3.3287312883, -0.5515214411, -0.4635870265, 2.0813125397, 0.0000000000, 5.0000000000, 4.0000000000, 0.0166630189
          13, 0.8123323446, -1.0413598980, 0.0000000000, 0.0000000000, 0.0000000000, 0.2471632408, -1.1081966380, 0.7184806794, 0.0000000000, -0.7800687795, -3.3359775981, -0.5451878616, -0.4590682729, 2.0747454840, 0.0000000000, 5.0000000000, 4.0000000000, 0.0179311514
          14, 0.8536794495, -1.1199788166, 0.0000000000, 0.0000000000, 0.0000000000, 0.2587365774, -1.1901200256, 0.7528183558, 0.0000000000, -0.7622282107, -3.3364451843, -0.5335413095, -0.4505133435, 2.0762880633, 0.0000000000, 5.0000000000, 4.0000000000, 0.0191934506
          15, 0.8917408953, -1.1918078835, 0.0000000000, 0.0000000000, 0.0000000000, 0.2708459715, -1.2649930348, 0.7844746507, 0.0000000000, -0.7482253706, -3.3310806137, -0.5187354172, -0.4391232456, 2.0843194251, 0.0000000000, 5.0000000000, 4.0000000000, 0.0204692682
          16, 0.9272603034, -1.2554201651, 0.0000000000, 0.0000000000, 0.0000000000, 0.2832892918, -1.3314589728, 0.8143147210, 0.0000000000, -0.7386055515, -3.3216891467, -0.5025397336, -0.4259192834, 2.0961458612, 0.0000000000, 5.0000000000, 4.0000000000, 0.0217333674
          17, 0.9594464781, -1.3090417739, 0.0000000000, 0.0000000000, 0.0000000000, 0.2958261353, -1.3876817452, 0.8417049865, 0.0000000000, -0.7329380141, -3.3098870356, -0.4859470412, -0.4116085182, 2.1097085294, 0.0000000000, 5.0000000000, 4.0000000000, 0.0230036656
          18, 0.9883410625, -1.3521132576, 0.0000000000, 0.0000000000, 0.0000000000, 0.3082791317, -1.4331076578, 0.8667356912, 0.0000000000, -0.7309602631, -3.2975090721, -0.4698046927, -0.3971032393, 2.1230615654, 0.0000000000, 5.0000000000, 4.0000000000, 0.0242696007
          19, 1.0150199602, -1.3844687744, 0.0000000000, 0.0000000000, 0.0000000000, 0.3202946424, -1.4676652712, 0.8904930985, 0.0000000000, -0.7331476007, -3.2851226914, -0.4544706405, -0.3829435822, 2.1358606020, 0.0000000000, 5.0000000000, 4.0000000000, 0.0255358179
          20, 1.0402570894, -1.4063937467, 0.0000000000, 0.0000000000, 0.0000000000, 0.3315931907, -1.4917063732, 0.9137233055, 0.0000000000, -0.7396627664, -3.2727901995, -0.4403892917, -0.3694686993, 2.1482214203, 0.0000000000, 5.0000000000, 4.0000000000, 0.0268127004
          21, 1.0645805424, -1.4189613634, 0.0000000000, 0.0000000000, 0.0000000000, 0.3420042836, -1.5063460949, 0.9368588605, 0.0000000000, -0.7502533683, -3.2610968042, -0.4274615523, -0.3567270060, 2.1596528215, 0.0000000000, 5.0000000000, 4.0000000000, 0.0280931513
          22, 1.0898013585, -1.4239966474, 0.0000000000, 0.0000000000, 0.0000000000, 0.3513056995, -1.5135603571, 0.9615448499, 0.0000000000, -0.7653117446, -3.2501288146, -0.4154145261, -0.3447158830, 2.1702995585, 0.0000000000, 5.0000000000, 4.0000000000, 0.0293686668
          23, 1.1163482333, -1.4231375402, 0.0000000000, 0.0000000000, 0.0000000000, 0.3593897646, -1.5150182316, 0.9880655819, 0.0000000000, -0.7844275074, -3.2401338050, -0.4040086065, -0.3333743782, 2.1800630144, 0.0000000000, 5.0000000000, 4.0000000000, 0.0306349357
          24, 1.1451691970, -1.4177931465, 0.0000000000, 0.0000000000, 0.0000000000, 0.3662221014, -1.5122060874, 1.0172426677, 0.0000000000, -0.8077124649, -3.2310852105, -0.3930496993, -0.3227248740, 2.1890298634, 0.0000000000, 5.0000000000, 4.0000000000, 0.0319003185
          25, 1.1767967810, -1.4094394939, 0.0000000000, 0.0000000000, 0.0000000000, 0.3718453184, -1.5066407486, 1.0494779680, 0.0000000000, -0.8349395530, -3.2230387283, -0.3824065865, -0.3128424150, 2.1971559466, 0.0000000000, 5.0000000000, 4.0000000000, 0.0331755678
          26, 1.2107459884, -1.3990775251, 0.0000000000, 0.0000000000, 0.0000000000, 0.3764462663, -1.4992770786, 1.0842010935, 0.0000000000, -0.8653887770, -3.2163064181, -0.3718757992, -0.3037152904, 2.2040540199, 0.0000000000, 5.0000000000, 4.0000000000, 0.0344415347
          27, 1.2472257186, -1.3877003215, 0.0000000000, 0.0000000000, 0.0000000000, 0.3801614196, -1.4911225867, 1.1215335959, 0.0000000000, -0.8987716578, -3.2109152632, -0.3613468959, -0.2953981226, 2.2096537830, 0.0000000000, 5.0000000000, 4.0000000000, 0.0357108156
          28, 1.2863767423, -1.3758626635, 0.0000000000, 0.0000000000, 0.0000000000, 0.3831923278, -1.4827422111, 1.1615673580, 0.0000000000, -0.9349601355, -3.2068575487, -0.3507913471, -0.2879083996, 2.2139133450, 0.0000000000, 5.0000000000, 4.0000000000, 0.0369862994
          29, 1.3281300495, -1.3643468322, 0.0000000000, 0.0000000000, 0.0000000000, 0.3857737729, -1.4749092415, 1.2041654522, 0.0000000000, -0.9734548564, -3.2039063025, -0.3402363537, -0.2812451219, 2.2170606035, 0.0000000000, 5.0000000000, 4.0000000000, 0.0382502675
          30, 1.3722259421, -1.3535390617, 0.0000000000, 0.0000000000, 0.0000000000, 0.3881458965, -1.4679858081, 1.2490355059, 0.0000000000, -1.0138059410, -3.2018904711, -0.3297621795, -0.2753935205, 2.2192772345, 0.0000000000, 5.0000000000, 4.0000000000, 0.0395238360
          31, 1.4185124661, -1.3436852412, 0.0000000000, 0.0000000000, 0.0000000000, 0.3905441643, -1.4622036208, 1.2960047127, 0.0000000000, -1.0556880604, -3.2004394544, -0.3194795171, -0.2703037597, 2.2209480757, 0.0000000000, 5.0000000000, 4.0000000000, 0.0407978694
          32, 1.4665139725, -1.3350500221, 0.0000000000, 0.0000000000, 0.0000000000, 0.3932438830, -1.4577848683, 1.3445761678, 0.0000000000, -1.0984711795, -3.1992376771, -0.3095469180, -0.2658937356, 2.2223923609, 0.0000000000, 5.0000000000, 4.0000000000, 0.0420678496
