"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          20, 0.2910655235, 0.0126864153, 0.0141796851, 0.1526554081, -0.0671190177, 0.0134692714, -0.0028692427, 0.0141796851, 0.2913277390, 22.9430865045, -4.9195459447, -5.0015330678, -4.8225964202, -4.7465096800, -4.4090199362, 2.0000000000, 5.0000000000, 0.3182112018
          21, 0.2900561278, 0.0125061613, 0.0141917549, 0.1520810776, -0.0664192453, 0.0134981051, -0.0029953565, 0.0141917549, 0.2903101604, 23.1930583255, -4.9563308791, -5.0374156193, -4.8567388578, -4.7793494774, -4.4483137202, 2.0000000000, 5.0000000000, 0.3325294654
          22, 0.2890320662, 0.0123766623, 0.0141919766, 0.1515273327, -0.0657719794, 0.0134981111, -0.0030700047, 0.0141919766, 0.2892806459, 23.3529896220, -4.9925755642, -5.0723113720, -4.8918751309, -4.8126541489, -4.4864235778, 2.0000000000, 5.0000000000, 0.3468570987
          23, 0.2880259085, 0.0122905453, 0.0141840592, 0.1510053395, -0.0651839435, 0.0134758230, -0.0031022884, 0.0141840592, 0.2882713258, 23.4347541589, -5.0278778467, -5.1054549902, -4.9281943485, -4.8462281652, -4.5226962440, 2.0000000000, 5.0000000000, 0.3612022320
          24, 0.2870624795, 0.0122410343, 0.0141708749, 0.1505230413, -0.0646588297, 0.0134368413, -0.0031002994, 0.0141708749, 0.2873066275, 23.4508353732, -5.0625203882, -5.1368474723, -4.9656084496, -4.8799581450, -4.5573786632, 2.0000000000, 5.0000000000, 0.3755149166
          25, 0.2861608056, 0.0122218979, 0.0141546748, 0.1500865003, -0.0641985883, 0.0133860267, -0.0030712756, 0.0141546748, 0.2864052177, 23.4137780416, -5.0970154157, -5.1669915135, -5.0038991891, -4.9138185639, -4.5911800119, 2.0000000000, 5.0000000000, 0.3898349007
          26, 0.2853350785, 0.0122273484, 0.0141372233, 0.1496994652, -0.0638031986, 0.0133275449, -0.0030217542, 0.0141372233, 0.2855809589, 23.3358099683, -5.1316996389, -5.1965392736, -5.0429081865, -4.9478349008, -4.6248030850, 2.0000000000, 5.0000000000, 0.4042148987
          27, 0.2845951875, 0.0122521740, 0.0141198338, 0.1493643753, -0.0634715218, 0.0132647974, -0.0029574674, 0.0141198338, 0.2848434480, 23.2281378925, -5.1666036062, -5.2260630180, -5.0826281367, -4.9820562155, -4.6586961012, 2.0000000000, 5.0000000000, 0.4185785850
          28, 0.2839478184, 0.0122914749, 0.0141035553, 0.1490827753, -0.0632013350, 0.0132009329, -0.0028836648, 0.0141035553, 0.2841990999, 23.1011997821, -5.2015500780, -5.2559861773, -5.1231917733, -5.0165490916, -4.6930356111, 2.0000000000, 5.0000000000, 0.4328968684
          29, 0.2833955195, 0.0123408063, 0.0140891722, 0.1488542720, -0.0629891518, 0.0131386143, -0.0028049211, 0.0140891722, 0.2836502219, 22.9641006827, -5.2363219169, -5.2866025145, -5.1647875870, -5.0513872692, -4.7278102464, 2.0000000000, 5.0000000000, 0.4472270012
          30, 0.2829381805, 0.0123963390, 0.0140772381, 0.1486769943, -0.0628307464, 0.0130799909, -0.0027250541, 0.0140772381, 0.2831964994, 22.8243339030, -5.2707921796, -5.3181042827, -5.2075743048, -5.0866513015, -4.7629246009, 2.0000000000, 5.0000000000, 0.4615405003
          31, 0.2825726519, 0.0124548019, 0.0140680665, 0.1485477275, -0.0627210529, 0.0130266694, -0.0026471620, 0.0140680665, 0.2828346129, 22.6878478829, -5.3049533438, -5.3506012572, -5.2516079379, -5.1224232478, -4.7982601272, 2.0000000000, 5.0000000000, 0.4759377321
          32, 0.2822927919, 0.0125136422, 0.0140616806, 0.1484619542, -0.0626544724, 0.0129795392, -0.0025734662, 0.0140616806, 0.2825582929, 22.5588031937, -5.3389062763, -5.3841038590, -5.2967979978, -5.1587565645, -4.8337212925, 2.0000000000, 5.0000000000, 0.4903693835
          33, 0.2820907864, 0.0125706666, 0.0140580268, 0.1484145301, -0.0626246694, 0.0129392051, -0.0025057397, 0.0140580268, 0.2823596195, 22.4403999057, -5.3727965542, -5.4185233294, -5.3429341630, -5.1956688150, -4.8692415030, 2.0000000000, 5.0000000000, 0.5046973666
          34, 0.2819576763, 0.0126242055, 0.0140569170, 0.1483999224, -0.0626253068, 0.0129058736, -0.0024451716, 0.0140569170, 0.2822295572, 22.3346868676, -5.4068112131, -5.4536721709, -5.3897238289, -5.2331403773, -4.9048268426, 2.0000000000, 5.0000000000, 0.5190286835
          35, 0.2818835270, 0.0126729463, 0.0140581100, 0.1484122101, -0.0626498366, 0.0128795206, -0.0023925420, 0.0140581100, 0.2821581155, 22.2429354046, -5.4410806772, -5.4892831517, -5.4368596368, -5.2711235580, -4.9404636772, 2.0000000000, 5.0000000000, 0.5333175500
          36, 0.2818581288, 0.0127161093, 0.0140612605, 0.1484453428, -0.0626922288, 0.0128597709, -0.0023480848, 0.0140612605, 0.2821350576, 22.1654377539, -5.4756959182, -5.5250599135, -5.4840673550, -5.3095506670, -4.9761652142, 2.0000000000, 5.0000000000, 0.5476578991
          37, 0.2818713684, 0.0127531170, 0.0140660439, 0.1484933732, -0.0627466996, 0.0128462489, -0.0023118365, 0.0140660439, 0.2821502538, 22.1021549249, -5.5106956770, -5.5607167883, -5.5311465862, -5.3483471934, -5.0119444352, 2.0000000000, 5.0000000000, 0.5619793653
          38, 0.2819141064, 0.0127838664, 0.0140720822, 0.1485511283, -0.0628085961, 0.0128383118, -0.0022834124, 0.0140720822, 0.2821945723, 22.0523351410, -5.5460667850, -5.5960072147, -5.5779885358, -5.3874442053, -5.0477955493, 2.0000000000, 5.0000000000, 0.5763322155
