"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
0	9.997426217058077e-01	-1.455264180555202e-05	1.292891495033259e+00	5.683752358608553e+00	1.098482549141399e-01	2.534862044110937e+05	1.013894825657209e+05	2.731877198949166e+02	1.052751892039978e+00	1.327011636158403e-02	
1	9.989712459773386e-01	-6.610294300192614e-05	1.292628083317065e+00	6.432652421517720e+00	6.871857939806731e-01	2.534356242328598e+05	1.013677743206788e+05	2.731848866317094e+02	6.983398771728118e-01	1.510439748456585e-02	
2	9.977075455188993e-01	-2.599627970110812e-04	1.292576218781656e+00	7.107207470551893e+00	1.157683719287673e+00	2.534265571333245e+05	1.013625997087183e+05	2.731819020830301e+02	6.138583980146932e-01	1.681335659635530e-02	
3	9.959418792917917e-01	-5.752884124728412e-04	1.292584516857477e+00	7.659842514172817e+00	1.415513914856310e+00	2.534291513266458e+05	1.013622720742450e+05	2.731792653215916e+02	6.085093892126358e-01	1.818778924502603e-02	
4	9.936755896561877e-01	-1.017812047855387e-03	1.292544810827537e+00	8.069897674308860e+00	1.604837227304786e+00	2.534221352341099e+05	1.013583788280388e+05	2.731771642626480e+02	5.449476766168276e-01	1.921204867454252e-02	
5	9.909185250875999e-01	-1.580727708769891e-03	1.292527868359191e+00	8.416851135758927e+00	1.741824252614418e+00	2.534194921133170e+05	1.013563653959048e+05	2.731753184764897e+02	5.120760862127952e-01	2.006994210334109e-02	
6	9.876811614412776e-01	-2.263000932931511e-03	1.292506283250236e+00	8.711487284294954e+00	1.853130097403020e+00	2.534158585327533e+05	1.013540689502395e+05	2.731736910823772e+02	4.745839750956709e-01	2.079704531811591e-02	
7	9.839433539868836e-01	-3.067583535001200e-03	1.292490141848676e+00	8.978039233350485e+00	1.943679289291256e+00	2.534132491580939e+05	1.013522422208752e+05	2.731721791030270e+02	4.447605216872136e-01	2.145029960525455e-02	
8	9.797350819228593e-01	-3.986401472053759e-03	1.292474576060454e+00	9.219220607834011e+00	2.021463822091737e+00	2.534107098174032e+05	1.013504994632279e+05	2.731707717568935e+02	4.163080029319725e-01	2.203956280533086e-02	
9	9.750362129560960e-01	-5.022843515490428e-03	1.292460451598089e+00	9.439541717325039e+00	2.087644229247341e+00	2.534084178515282e+05	1.013489043063875e+05	2.731694575778143e+02	3.902652367510747e-01	2.257554063561637e-02	
10	9.698767281281192e-01	-6.168317749433401e-03	1.292447280613023e+00	9.641940134977368e+00	2.143885869756414e+00	2.534062814279514e+05	1.013474151265648e+05	2.731682274923353e+02	3.659526670126818e-01	2.306568563323811e-02	
11	9.642362462614679e-01	-7.425393487477554e-03	1.292435376312335e+00	9.828047861809631e+00	2.191933715275928e+00	2.534043653973356e+05	1.013460556106802e+05	2.731670791522743e+02	3.437570098798535e-01	2.351454709821234e-02	
12	9.581346596151982e-01	-8.787922821317856e-03	1.292422932054297e+00	1.000108920485324e+01	2.234421076562501e+00	2.534023195802668e+05	1.013446770491430e+05	2.731659935802585e+02	3.212504106100530e-01	2.393082428204400e-02	
13	9.515720535332735e-01	-1.025514404757475e-02	1.292411767372598e+00	1.016340968539752e+01	2.270345432606668e+00	2.534005050018587e+05	1.013434195220390e+05	2.731649637762150e+02	3.007198373738180e-01	2.431931061040889e-02	
14	9.445577439361018e-01	-1.182085983450106e-02	1.292401096400700e+00	1.031637060062736e+01	2.300457386049177e+00	2.533987692287355e+05	1.013422190019588e+05	2.731639832632974e+02	2.811199692269405e-01	2.468350436356088e-02	
15	9.371017772633089e-01	-1.348185563188790e-02	1.292390264237677e+00	1.046145728978476e+01	2.325985896123438e+00	2.533969877870354e+05	1.013410214898971e+05	2.731630449120320e+02	2.615692104354875e-01	2.502743551095291e-02	
