"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          20, 0.2871586284, 0.0119469680, 0.0141942502, 0.1507273052, -0.0668250265, 0.0139904537, -0.0033990791, 0.0141942502, 0.2873869415, 24.0361093775, -4.7590304147, -4.8529545749, -4.7841515878, -4.7096126620, -4.2439518552, 2.0000000000, 5.0000000000, 0.2742113670
          21, 0.2869338882, 0.0116703953, 0.0142158885, 0.1504995565, -0.0661842157, 0.0140433396, -0.0036632604, 0.0142158885, 0.2871477579, 24.5864755437, -4.7918379140, -4.8854781406, -4.8154690591, -4.7428047980, -4.2805817232, 2.0000000000, 5.0000000000, 0.2866891503
          22, 0.2864944435, 0.0114801374, 0.0142166994, 0.1501852604, -0.0655241638, 0.0140417964, -0.0038297887, 0.0142166994, 0.2866987835, 24.9556633652, -4.8261359690, -4.9187646259, -4.8468401357, -4.7756087177, -4.3177132528, 2.0000000000, 5.0000000000, 0.2992654641
          23, 0.2858976099, 0.0113651254, 0.0142022792, 0.1498117519, -0.0648680852, 0.0139964936, -0.0039127768, 0.0142022792, 0.2860966613, 25.1556934929, -4.8603491622, -4.9511585494, -4.8791559357, -4.8076342692, -4.3535552435, 2.0000000000, 5.0000000000, 0.3118123809
          24, 0.2851960263, 0.0113151934, 0.0141771809, 0.1494050343, -0.0642362761, 0.0139169834, -0.0039251858, 0.0141771809, 0.2853934126, 25.2046974054, -4.8935449338, -4.9817260891, -4.9129115325, -4.8388838191, -4.3871419304, 2.0000000000, 5.0000000000, 0.3242523154
          25, 0.2844365092, 0.0113204656, 0.0141451980, 0.1489885683, -0.0636450165, 0.0138120406, -0.0038793768, 0.0141451980, 0.2846352599, 25.1258665913, -4.9256091404, -5.0104497967, -4.9481022554, -4.8696952611, -4.4185590897, 2.0000000000, 5.0000000000, 0.3367785176
          26, 0.2836583047, 0.0113713936, 0.0141094340, 0.1485818156, -0.0631066648, 0.0136894821, -0.0037869796, 0.0141094340, 0.2838608835, 24.9449026057, -4.9569516964, -5.0379865228, -4.9843671486, -4.9005208805, -4.4486148626, 2.0000000000, 5.0000000000, 0.3493907173
          27, 0.2828934690, 0.0114585876, 0.0140725335, 0.1482001907, -0.0626295538, 0.0135564495, -0.0036590816, 0.0140725335, 0.2831017930, 24.6883366392, -4.9880632871, -5.0652187015, -5.0212567577, -4.9317417977, -4.4782699684, 2.0000000000, 5.0000000000, 0.3623260657
          28, 0.2821676010, 0.0115731121, 0.0140367152, 0.1478552616, -0.0622188541, 0.0134192494, -0.0035059724, 0.0140367152, 0.2823830734, 24.3813072151, -5.0192285873, -5.0928856702, -5.0584599831, -4.9635796207, -4.5082465753, 2.0000000000, 5.0000000000, 0.3749408484
          29, 0.2814991273, 0.0117066801, 0.0140036132, 0.1475542735, -0.0618765905, 0.0132830990, -0.0033369106, 0.0140036132, 0.2817226829, 24.0460255031, -5.0504994196, -5.1214403474, -5.0959379252, -4.9961034584, -4.5389092376, 2.0000000000, 5.0000000000, 0.3879014333
